shop_location,shop_name,lon,lat,product,sales_qty,sales_revenue
Eastleigh,Altruism Company Limited,36.843889,-1.268091,bits,8463,846300
Mlolongo,Mwagesicho shop,36.942436,-1.391338,bits,1597,159700
Kayole,Leshcomm Enterprises,36.923375,-1.26496,bits,2017,201700
Kayole,Sauti B Shop,36.920748,-1.269707,bits,8470,847000
Kahawa West,Wamac Collection,36.904179,-1.184481,bits,1129,112900
Thika,Kei kei Celkom shop,37.081275,-1.038262,bits,8545,854500
Huruma,Joyraw transaction services,36.874355,-1.260508,bits,3460,346000
Ruaka/Denderu,Faulu Kerosene pump,36.823723,-1.215482,bits,78,7800
Dagoretti Corner,Fix-IT Electrical and Hardware,36.756393,-1.299423,bits,7553,755300
Mathare slum,Awendo Traders,36.858955,-1.261157,bits,3926,392600
Gachie,Jewel Hardware,36.7558,-1.2146,bits,2383,238300
Gachie,Rwinu ventures,36.77777,-1.22072,bits,6224,622400
Kibera,Double M Enterprises mashimoni,36.795717,-1.314105,bits,8974,897400
Kariobangi South,Smiles Empire,36.885911,-1.263627,bits,5826,582600
Githurai 44,Waimani Gas Shop,36.905198,-1.200107,bits,5124,512400
Ruaka/Denderu,Wote Supermarket,36.746869,-1.193242,bits,2068,206800
Juja,Chamghe Wandu Butchery,37.027418,-1.151306,bits,7895,789500
"Embakasi (Fedha, Nyayo,Tasia)",Jambo Enterprises,36.901144,-1.301437,bits,2083,208300
Kayole,Top spring medical centre,36.91273,-1.275007,bits,1146,114600
Kawangware,Cyber world tech,36.747398,-1.286969,bits,8191,819100
Umoja Innercore and 1,Githimu Phamaceuticals,36.891411,-1.277994,bits,1514,151400
Kitengela,Elohim enterprise,36.955082,-1.481753,bits,2915,291500
Shauri Moyo,Messoh Enterprises,36.848305,-1.292052,bits,2184,218400
Zimmerman,Mom's choice self selection,36.895717,-1.210458,bits,2281,228100
Imara Daima,Unique Mini Selection,36.886509,-1.321249,bits,6803,680300
Mathare North,Donisha Cereals,36.874355,-1.25138,bits,6646,664600
Ruaka/Denderu,Stewa Shop,36.804493,-1.15215,bits,9842,984200
Kitengela,Dm cooking gas,36.963995,-1.480226,bits,8256,825600
Zimmerman,Jachin Hardware & Electronics,36.89515,-1.21537,bits,4529,452900
Imara Daima,Blue Flame Gas,36.885113,-1.324048,bits,1294,129400
Kitengela,Carol shop(Yukos),36.952736,-1.50703,bits,9760,976000
Uthiru,Genesis Gas Supplies (Uthiru)-3,36.715435,-1.261459,bits,6192,619200
Kitengela,Sterling Entertainment (Kitengela),36.95819,-1.474523,bits,3396,339600
Eastleigh Section 3,Jinsia General Shop,36.853863,-1.28494,bits,3950,395000
Kiambu Township,Milimani Gas And Kerosine Pump,36.751743,-1.147362,bits,3594,359400
Mlolongo,ELITE MERCHANTS,36.9476,-1.3999,bits,1871,187100
Eastleigh,Emmanuel store,36.850013,-1.271958,bits,2586,258600
Dandora Phase 2,Liomart,36.9018,-1.252993,bits,5170,517000
Kasarani,By Faith General Shop,36.907242,-1.212493,bits,7838,783800
Kahawa West,Kamae supermarket (kamae road Kahawa west),36.910097,-1.17555,bits,829,82900
Zimmerman,K1 Gas,36.894347,-1.213012,bits,9820,982000
Eastleigh Section 3,Annointed Shop Kiambiu,36.86159,-1.283588,bits,8490,849000
Mathare North,Inforsoft technology,36.874023,-1.250552,bits,5616,561600
Kibera,Luzon (Kibera),36.788573,-1.312145,bits,4828,482800
Kawangware,Eunika Supermarket-EA,36.744849,-1.285543,bits,7020,702000
Rongai,Loliondo mini supermarket( Gataka),36.720302,-1.372516,bits,5241,524100
Eastleigh Section 3,Essy Gas Distributors,36.853108,-1.285448,bits,6187,618700
Imara Daima,Moraa General Shop,36.885441,-1.322034,bits,9486,948600
Dandora Phase 3,Lobentech comps,36.902628,-1.24858,bits,9172,917200
Rongai,Andimi general stores,36.748321,-1.39678,bits,1683,168300
Huruma,Geopharm,36.866928,-1.258972,bits,3797,379700
Mowlem-Dandora,Githogoris Shop,36.900352,-1.26276,bits,9634,963400
Kibera Ayany,Anti-Hill Medical Clinic and Chemist -Kibera Ayany,36.774972,-1.310963,bits,3484,348400
"Embakasi (Fedha, Nyayo,Tasia)",Dilmart Stores,36.90222,-1.30498,bits,456,45600
Ruiru,Sasuna gas depot,36.937287,-1.157944,bits,2204,220400
Gatina,Trinity,36.750611,-1.278468,bits,6816,681600
Kikuyu,Mimos general shop,36.67796,-1.269697,bits,6951,695100
Kiserian,Elison Dairy shop,36.690545,-1.432854,bits,9764,976400
Huruma,MNetworks Communication,36.871916,-1.256947,bits,8738,873800
Kibera,Tumaini general shop(Darajani),36.7892,-1.311,bits,1511,151100
Kangemi,Frawaki Supermarket,36.760515,-1.269133,bits,8952,895200
Pipeline,Muhindi Mweusi supermarket Pipeline,36.890395,-1.315282,bits,6151,615100
Ruiru,Blessed Mini Mart (Kihunguro),36.95731,-1.159401,bits,6562,656200
Kasarani,Wizzy Mini Matt,36.9017,-1.2181,bits,7139,713900
Zimmerman,Diana Gas,36.894248,-1.212191,bits,4226,422600
Githurai 44,STEPA SUPERMARKET,36.90205,-1.198692,bits,4298,429800
Donholm,KASA GAS SUPPLY DONHOLM,36.890971,-1.29901,bits,7628,762800
Mwiki,Mugumo Chemist,36.922624,-1.2253,bits,9618,961800
Thika,Jobil electronics kiganjo,37.099271,-1.074662,bits,4258,425800
Thika,EJUDE ENTERPRISES,37.12574,-1.06645,bits,1141,114100
Loresho/Kyuna,Raspberry,36.7483,-1.2354,bits,7014,701400
Limuru,Pawa Enterprises,36.627683,-1.109471,bits,1120,112000
Kahawa West,Kanorero Gas supplier,36.902123,-1.183622,bits,6334,633400
Pipeline,Vinny shop,36.896775,-1.321807,bits,2367,236700
Eastleigh Section 3,A. Salam Gas Suppliers,36.852615,-1.28636,bits,8409,840900
Dandora Phase 4 & 5,Revival Shop,36.905012,-1.244254,bits,4108,410800
South C,Aymat bandari,36.8211,-1.3255,bits,393,39300
Kahawa West,NAKI GENERAL SUPPLIERS LTD,36.905127,-1.181835,bits,4317,431700
Langata,Violet shop,36.776824,-1.316615,bits,4280,428000
Kibera Ayany,Olympics Stage Shop,36.777616,-1.312822,bits,3179,317900
Mathare North,Margaret Shop,36.871407,-1.252993,bits,6691,669100
Kayole,SK Mayai,36.919756,-1.262051,bits,2193,219300
Huruma,Petson 3c Hub,36.873,-1.25638,bits,9533,953300
Kariobangi North,Karia Supermarket 5,36.8858,-1.2615,bits,7468,746800
Kiserian,Clean Cut,36.688047,-1.43027,bits,5367,536700
Riruta Satellite,Wagache Equity Agent,36.727773,-1.290528,bits,4139,413900
Thika,Mama wangari general shop,37.106128,-1.060829,bits,5061,506100
Pipeline,Naichu enterprises- pipeline,36.893233,-1.320262,bits,3422,342200
Ruai,Mashtech bypass,36.98204,-1.263664,bits,4749,474900
Mlolongo,Jikaze Investments (Mlolongo),36.943976,-1.394665,bits,1345,134500
Eastleigh,Kefoma,36.84888,-1.266978,bits,8453,845300
Ruiru,Ken Gas Depot,36.936182,-1.155807,bits,7077,707700
Ngong,Ngong Heights Supermarket,36.656572,-1.356572,bits,9122,912200
Githurai 45,Upright ventures,36.938051,-1.2135,bits,4782,478200
Thika,Homeway supermarket (Weitethie),37.053228,-1.067511,bits,3514,351400
Pipeline,Hebamalijee Glassmart Hardware And Paints,36.897274,-1.320337,bits,3399,339900
Limuru,Nyambari Evergreen Agencies,36.631897,-1.053907,bits,4990,499000
South B,Crocodiles place,36.848497,-1.315591,bits,1293,129300
Kibera,Kongowea Shop,36.792364,-1.314954,bits,2896,289600
Jerusalem Jericho,Jericho Cereals Shop,36.870206,-1.292152,bits,6408,640800
Thika,Jobil electronics,37.100464,-1.075016,bits,8042,804200
Kangemi,Yobra Electronics,36.74525,-1.26657,bits,1724,172400
Githurai 45,Wamaina General Shop,36.918631,-1.207918,bits,9749,974900
Ruiru,Maina gas suppliers,36.941816,-1.155478,bits,3324,332400
Githurai 45,Loyal Gas,36.970111,-1.215266,bits,5329,532900
Syokimau,Shanton Saloon,36.934964,-1.371199,bits,9962,996200
Kibera,Makaa shop,36.797602,-1.314428,bits,1900,190000
Githurai 45,Nichi Powell's Enterprise,36.932332,-1.211105,bits,1889,188900
Rongai,Economy Traders & Gas Depot,36.746412,-1.39178,bits,9246,924600
Thika,Wa Brian gen supplies,37.11952,-1.06094,bits,2916,291600
Kangemi,Mountain Supermarket,36.7386,-1.27385,bits,155,15500
Mathare North,Manhuss stores,36.866849,-1.253524,bits,2958,295800
Rongai,Creamline Farmers Produce,36.7452,-1.396434,bits,3743,374300
Parklands,Hikma Mart & Wholesale,36.827225,-1.258108,bits,3207,320700
Lucky Summer,Daughters Bookshop,36.896458,-1.241237,bits,450,45000
Riruta Satellite,Naivasha Classic Butchery,36.746174,-1.290849,bits,6436,643600
Umoja Innercore and 1,HEZNIC ENTERPRISES LTD TENA,36.885835,-1.291074,bits,734,73400
Kibera,Agape shop,36.801002,-1.315423,bits,331,33100
Zimmerman,Wa Saimo Shop,36.898712,-1.205465,bits,2419,241900
Kasarani,Mwapa Shop,36.903628,-1.215243,bits,3406,340600
Kikuyu,Islands shop Kikuyu,36.663118,-1.248537,bits,9256,925600
Ngara,Memos V Wholesale & Retail Shop,36.835274,-1.270732,bits,6499,649900
Githurai 44,Stedo Supermarket,36.90046,-1.20114,bits,7361,736100
Ngong,Matasia Mpesa shop,36.683147,-1.392127,bits,9353,935300
Kibera,Makina Dailies,36.782999,-1.3077,bits,6820,682000
Lucky Summer,Kibsy traders,36.890835,-1.242303,bits,6685,668500
Imara Daima,JOSPI CHEMIST,36.881643,-1.324636,bits,6129,612900
Rongai,Joyous shop,36.763134,-1.389002,bits,9847,984700
Limuru,Equator Gen Shop,36.64149,-1.107307,bits,8129,812900
Ngummo,One Stop Jusaka Enterprises,36.799693,-1.310799,bits,5779,577900
Buruburu,NJEGATU VENTURES,36.879976,-1.294034,bits,2165,216500
Rongai,Jirani Super Stores,36.773496,-1.391191,bits,6416,641600
Ruaraka/Baba Dogo,Ebenezer shop,36.88915,-1.244373,bits,747,74700
Chokaa,Green Grocer And Shop,36.95296,-1.251974,bits,4342,434200
Mowlem-Dandora,Isha hardware,36.895203,-1.26378,bits,5905,590500
Ruai,Miwa Tatu Shop 1,37.06544,-1.281675,bits,7854,785400
Mlolongo,MG 4 phase 3 dreamland,36.951,-1.39264,bobs,3256,488400
Umoja 2 and 3,Green Grocer Shop,36.901442,-1.282295,bobs,3679,551850
Shauri Moyo,RAMANI SHOP 7068,36.849308,-1.296621,bobs,2052,307800
Buruburu,DAUDI'S ENTERPRISES,36.875517,-1.276471,bobs,2961,444150
Kangemi,Seraben supermarket-EA,36.748763,-1.266479,bobs,9458,1418700
Kayole,Eagle Services,36.912029,-1.276038,bobs,3896,584400
Pipeline,Lucyron Mini Mart,36.889934,-1.315296,bobs,9859,1478850
Kahawa West,Premier Mart,36.904865,-1.18208,bobs,3562,534300
Githurai 44,Danhu Enterprices,36.900807,-1.200401,bobs,4784,717600
Kahawa,Jacaranda supermarket,36.895555,-1.189018,bobs,8575,1286250
Thika,Chap Chap Mini Mart,37.06787,-1.03815,bobs,271,40650
Mukuru kwa Njenga,Muhindi Mweusi Supermarket-Mukuru kwa Njenga,36.887765,-1.319547,bobs,227,34050
Thika,Summer Poshomill,37.103723,-1.054361,bobs,3410,511500
Lucky Summer,Nirova Investments,36.903541,-1.237947,bobs,4682,702300
Kariobangi South,Phoenix Entertainment,36.884892,-1.270499,bobs,6921,1038150
Githurai 45,Unique JB Shop,36.915989,-1.20672,bobs,4078,611700
Waithaka,Joskam,36.719967,-1.281038,bobs,4534,680100
Kayole,Step one shop,36.912136,-1.286572,bobs,3108,466200
Githurai 45,Bidii Enterprises,36.93822,-1.21397,bobs,499,74850
Lucky Summer,Neema cereals B. Dogo,36.8834,-1.24,bobs,8055,1208250
Mwiki,Nyambo Dairy Mwiki,36.929465,-1.238338,bobs,9060,1359000
Dandora Phase 2,Wachege Shop,36.896489,-1.254767,bobs,331,49650
Mwiki,Raha General Shop,36.925549,-1.229502,bobs,2763,414450
Maringo,DREAM PUB BUTCHERY,36.8548,-1.2944,bobs,6676,1001400
Kayole,Palace food merchants,36.916907,-1.271715,bobs,8721,1308150
Kayole,Muhindi Mweusi Supermarket (Kayole),36.914878,-1.281217,bobs,7525,1128750
Mowlem-Dandora,Miwa tatu merchants,36.902138,-1.265242,bobs,8990,1348500
Huruma,REE SCENTS BEAUTY SHOP,36.869037,-1.259632,bobs,4109,616350
Kitengela,Ngwata Shop,36.957298,-1.471206,bobs,3016,452400
Ndumbuini,Mama brian salon,36.722968,-1.255564,bobs,3285,492750
Mlolongo,MG SHOP 5 MG ELECTRONICS & GAS,36.948353,-1.389159,bobs,3996,599400
Ruai,Mashtech gas department,36.996761,-1.271607,bobs,5896,884400
Mathare slum,Baba Jack,36.86033,-1.261237,bobs,5101,765150
Mwiki,Pasals boutique,36.930245,-1.237488,bobs,7369,1105350
Mathare North,Digital Wave Solutions,36.867535,-1.252948,bobs,5904,885600
Ruiru,Ebenezer shop (Ruiru Kihunguro),36.961689,-1.159814,bobs,9693,1453950
Syokimau,Mambo Jambo (Syokimau),36.941266,-1.367928,bobs,2018,302700
Kariobangi South,Chetu Chema Enterprise,36.884485,-1.266378,bobs,5140,771000
Kangemi,Express Supermarket (Waruku),36.75418,-1.26853,bobs,5723,858450
Umoja Innercore and 1,Mambi Glassmart`,36.886585,-1.280421,bobs,2899,434850
Ruai,Reliance energy mutalia,37.1121,-1.2739,bobs,8065,1209750
Umoja Innercore and 1,Igwe enterprise Umoja,36.882978,-1.280071,bobs,6675,1001250
Mwiki,Down Town Shop,36.918968,-1.233626,bobs,2215,332250
Umoja 2 and 3,One Stop General Shop (Umoja 2 and 3),36.896536,-1.267108,bobs,8158,1223700
Uthiru,Elex services shop,36.710997,-1.258915,bobs,4147,622050
Kaloleni,SESSIA CEREALS SHOP,36.870171,-1.294508,bobs,4065,609750
Kawangware,Diznay stores kawangware,36.750438,-1.28859,bobs,9129,1369350
Mwiki,Japata kerosene pump,36.933862,-1.233483,bobs,3639,545850
Umoja 2 and 3,Danisora Investment Ltd (Umoja 2 and 3),36.899265,-1.285142,bobs,4559,683850
Athi River,Bliss Uniform Centre (Athi River),36.9741,-1.45724,bobs,5753,862950
Kayole,Sauti (A) Shop,36.919334,-1.268229,bobs,4500,675000
Ngummo,Lucky Prince,36.799686,-1.311282,bobs,4,600
Umoja 2 and 3,Super bargain shop Umoja,36.893576,-1.276069,bobs,3070,460500
Ruai,Jerry cereals shop,36.98864,-1.298765,bobs,8597,1289550
Mlolongo,Hesbonellar shop 2,36.943483,-1.390425,bobs,2282,342300
Ngong,Jetmark Traders embulbul,36.67436,-1.333753,bobs,4199,629850
Dandora Phase 4 & 5,Mandelas Price,36.905031,-1.242604,bobs,2418,362700
Syokimau,Fm Technical shop,36.946378,-1.364303,bobs,8407,1261050
Dandora Phase 3,Kairu's Shopping Complex,36.904,-1.2503,bobs,9096,1364400
Rongai,Church of the Nazarene Kware,36.748792,-1.391728,bobs,4032,604800
Mwiki,Special Gas,36.919849,-1.231961,bobs,1859,278850
Thika,TODAY MINI SHOP,37.09698,-1.07252,bobs,8890,1333500
Kayole,CHRIS MALI MALI SHOP,36.91257,-1.285587,bobs,6083,912450
Kasarani,By Grace General Shop - Kasarani,36.898699,-1.218336,bobs,4657,698550
Mlolongo,KIKA INVESTMENT,36.94369,-1.386883,bobs,3638,545700
Githurai 45,Perfect gas suppliers,36.916722,-1.20781,bobs,5114,767100
Kibera,Uchumi Ndogo Shop,36.793135,-1.31547,bobs,6689,1003350
Umoja 2 and 3,Kingsmatt Milk ATM-EA,36.89822,-1.27905,bobs,2424,363600
Kayole,By Grace Derek shop,36.92386,-1.264017,bobs,7514,1127100
Mathare North,Slopes General Hardware,36.871475,-1.248993,bobs,8032,1204800
Kahawa West,Dan Rose KM,36.929438,-1.173808,bobs,2692,403800
Obama,Genesis Enterprises,36.92449,-1.25633,bobs,7467,1120050
Thika,DELIGHT BEAUTY SHOP,37.11212,-1.05677,bobs,8585,1287750
Umoja 2 and 3,Apple Gas Point,36.895805,-1.262469,bobs,7005,1050750
Kitengela,Ben Ben boutique,36.954459,-1.481914,bobs,1436,215400
Ruaka/Denderu,Titans Complex,36.78516,-1.20707,bobs,1217,182550
"Embakasi (Fedha, Nyayo,Tasia)",Mama Favour shop,36.902982,-1.304446,bobs,837,125550
Athi River,Menengai Stores,36.97421,-1.457337,bobs,9667,1450050
Mowlem-Dandora,Russian enterprises,36.909583,-1.25837,bobs,5313,796950
Zimmerman,Pegjam Enterprise,36.895159,-1.21041,bobs,6921,1038150
Mathare North,Gatitu general,36.867776,-1.255071,bobs,8188,1228200
Juja,Favoured mini mart ( k road),37.003833,-1.121352,bobs,8484,1272600
Kaloleni,NYANGE STORES,36.860476,-1.298502,bobs,8426,1263900
Thika,Hope Mini Market,37.055877,-1.067204,bobs,8623,1293450
Kibera,S.M GENERAL SHOP,36.792379,-1.312069,bobs,9072,1360800
Huruma,Amazing Grace Kerosene Pump,36.877813,-1.258908,bobs,3102,465300
Dandora Phase 3,Smart Gas,36.906571,-1.249777,bobs,3838,575700
Umoja Innercore and 1,R and K,36.890947,-1.286785,bobs,2086,312900
Donholm,One stop butchery,36.889565,-1.292636,bobs,6395,959250
"Embakasi (Fedha, Nyayo,Tasia)",Fei Shop At Mradi Slum,36.907776,-1.31566,bobs,3324,498600
"Embakasi (Fedha, Nyayo,Tasia)",Robetec General shop,36.90169,-1.31561,bobs,516,77400
"Embakasi (Fedha, Nyayo,Tasia)",Shop 360,36.911528,-1.308093,bobs,991,148650
Githurai 45,Mt Kenya Shop(Githurai 45),36.922537,-1.215014,bobs,2614,392100
Lucky Summer,Nevillos Investment,36.9012,-1.238628,bobs,1963,294450
Kinoo,Supreme Supermarket,36.702679,-1.257242,bobs,3949,592350
Thika,Testimony Shop,37.077826,-1.054281,bobs,5053,757950
Mlolongo,Walk and shop supermarket,36.939646,-1.395405,bobs,9725,1458750
Kibera Ayany,Kibera 42,36.77358,-1.309406,bobs,7710,1156500
Ngando,Pedimart Supermarket & Supplies Ltd,36.73861,-1.30664,bobs,3373,505950
Eastleigh,Al Nasri Shop,36.852789,-1.286328,bobs,6419,962850
Kahawa West,Avenue Shop-EA,36.902049,-1.186182,bobs,3525,528750
Umoja 2 and 3,Kaingoni Traders,36.894723,-1.26501,bobs,5129,769350
Kitengela,DM gas and Mpesa,36.966553,-1.481087,bobs,1333,199950
Waithaka,Mashi minimart,36.724876,-1.29014,bobs,1386,207900
Kawangware,Shawnlink Enterprises - Methonge,36.742402,-1.284197,bobs,323,48450
Maringo,Hurricane Garments,36.861423,-1.293188,bobs,4066,609900
"Embakasi (Fedha, Nyayo,Tasia)",Bahamas (C) Electronics,36.898,-1.319459,bobs,4251,637650
Mwiki,Edibiqs Mini Mart,36.923695,-1.228553,bobs,3248,487200
Kayole,Eighty eight auto pcea,36.913473,-1.270776,bobs,5789,868350
Dandora Phase 4 & 5,Tula cyber,36.9039,-1.2439,bobs,1417,212550
Ngando,Kizingo Shop (Jamhuri),36.739172,-1.302147,bobs,7738,1160700
Dandora Phase 1,INTERNATIONAL YOUNG TAILORS,36.892913,-1.255677,bobs,8521,1278150
Lucky Summer,Spot on play ground,36.898572,-1.239385,bobs,5087,763050
Athi River,STAR LIGHT,36.9728,-1.4546,bobs,6317,947550
Kikuyu,Bobs Bistro kwambira,36.651389,-1.217629,bobs,5120,768000
Rongai,Digital makaa,36.7571,-1.3977,bobs,8038,1205700
Jerusalem Jericho,GATHAMBIA SHOP,36.87055,-1.28597,bobs,8944,1341600
Mlango Kubwa,Open blessings holdings,36.851197,-1.265445,bobs,1950,292500
Kayole,Perfect mission investment,36.911102,-1.280288,bobs,456,68400
Kariobangi North,Jegla Gas,36.8805,-1.2607,bobs,523,78450
Thika,Brians General Shop,37.052557,-1.073286,bobs,2828,424200
Mukuru kwa Njenga,NJOWAS TRADERS,36.8851,-1.3192,bobs,237,35550
Mlolongo,MG shop 3,36.944664,-1.400473,bobs,3292,493800
Kahawa,Favoured Shop,36.925934,-1.198976,bobs,9748,1462200
Waithaka,Quick fix,36.723562,-1.289973,bobs,5659,848850
Githurai 45,Magic Furnisher,36.936827,-1.208836,bobs,6967,1045050
Kahawa West,BEAUTIFLOW LTD,36.907463,-1.181664,bobs,9233,1384950
Pipeline,Muhindi Mweusi Supermarket Transami,36.896942,-1.324597,bobs,1593,238950
Kawangware,Kimsmart Supermarket,36.753427,-1.286466,bobs,1056,158400
Kariobangi North,Star Fashion,36.883486,-1.252726,bobs,6253,937950
Pipeline,Sirdawa Investment,36.889422,-1.311937,bobs,6170,925500
Limuru,Jamwa Supermarket,36.666923,-1.149155,bobs,2324,348600
Kibera,Western general shop,36.796079,-1.314581,bobs,6403,960450
Mwihoko,Timko Agency 2,36.961505,-1.206047,bobs,7364,1104600
Githurai 45,God's favour shop (45),36.92238,-1.213022,bobs,4253,637950
Kahawa West,Lillies Supermarket,36.906785,-1.18638,bobs,3615,542250
Umoja Innercore and 1,Mama Betty mini shop,36.894299,-1.281967,bobs,7000,1050000
South C,Villes food limited.,36.827877,-1.31356,bobs,9780,1467000
Pipeline,Bluestart Glassmart And General Merchants,36.897348,-1.319298,bobs,9258,1388700
Kibera,Double K Beuty Shop,36.79769,-1.312348,bobs,9536,1430400
Thika,Kikwetu Mini Matt And Dairy,37.080131,-1.036283,bobs,8974,1346100
Mathare slum,Highway store,36.863018,-1.262419,bobs,3448,517200
Ruiru,Dobren Enterprises,36.958298,-1.157397,bobs,8483,1272450
Mwiki,Johntex electronics,36.934691,-1.234749,bobs,2379,356850
Lucky Summer,Rk Investment,36.889565,-1.244379,bobs,7433,1114950
Lucky Summer,Spot on mainstage,36.8975,-1.2398,bobs,2126,318900
Pipeline,General Citizen Supermarket,36.895861,-1.318289,bobs,8535,1280250
Gatina,Mwireri Shop,36.75152,-1.28001,bobs,6853,1027950
Buruburu,The Care Beauty Salon,36.87418,-1.279283,bobs,6904,1035600
CBD,Muthurwa Nine Investments,36.8343,-1.2879,bobs,9488,1423200
Marurui,Agash Investment Ltd,36.8885,-1.200013,bobs,6281,942150
Kahawa West,LAQUINTA SUPERMARKET (KM),36.930603,-1.17459,bobs,9627,1444050
Huruma,Limbo ChapChap Store,36.87626,-1.255687,bobs,5188,778200
Kariobangi South,KASA GAS SUPPLY,36.885263,-1.267297,bobs,1631,244650
Thika,Everest enterprise makongeni,37.11396,-1.05793,bobs,9055,1358250
Mwiki,Kena enterprises,36.9309,-1.2368,bobs,2267,340050
Dandora Phase 4 & 5,Grahons Enterprise,36.913562,-1.241973,bobs,1082,162300
Dandora Phase 1,Kuku shop,36.89282,-1.255243,bobs,8982,1347300
Shauri Moyo,THE PLACE TO BE,36.847364,-1.28873,bobs,2683,402450
Kitengela,Bethel Shop,36.953545,-1.475323,bobs,3670,550500
Kayole,Carfex general store,36.910978,-1.287483,bobs,3634,545100
Kibera Ayany,Graceline adventures,36.777108,-1.311783,bobs,4502,675300
Imara Daima,Blessed cereals shop,36.890937,-1.326212,bobs,2488,373200
Mathare North,Junja traders,36.874215,-1.25082,bobs,6350,952500
Waithaka,Maxim Enterprises,36.728027,-1.279152,bobs,5266,789900
Eastleigh,Utukufu Butchery,36.850742,-1.282451,bobs,50,7500
Umoja 2 and 3,Edlink agencies,36.893516,-1.272407,bobs,4905,735750
Mwiki,Jirehmart,36.922333,-1.227206,bobs,282,42300
Umoja 2 and 3,GENESSIS ATM MILK,36.893471,-1.268624,bobs,7152,1072800
Gachie,Kings Gas,36.778441,-1.220172,bobs,4560,684000
Rongai,Nel shop,36.720999,-1.373498,bobs,4809,721350
Ruaraka/Baba Dogo,Oasis Minimart,36.885662,-1.24813,bobs,9821,1473150
Buruburu,EPIC ENERGY EFFICIENT TECHNOLOGIES LTD,36.881417,-1.287633,bobs,2488,373200
Kariobangi North,Karia Supermarket 6,36.884,-1.2632,bobs,1342,201300
Mathare slum,PAMOJA EXPRESS SUPERMARKET,36.86459,-1.25998,bobs,218,32700
Huruma,Irene Muthoni Njuguna shop,36.875125,-1.260785,bobs,1874,281100
Kahawa West,Elidah Supermarket,36.906147,-1.184312,bobs,3214,482100
Thika,Le Patron Thika,37.0789,-1.0384,bobs,4231,634650
Huruma,Milestone Technology Ltd,36.869873,-1.257232,bobs,9898,1484700
Kaloleni,SHASHE ENTERPRISES,36.858583,-1.296482,bobs,397,59550
Kikuyu,Boutique kikuyu,36.664455,-1.245543,bobs,6911,1036650
Kayole,Smart Gas Supply,36.914743,-1.280473,bobs,7124,1068600
Kawangware,Solomon's Shop,36.744355,-1.285308,bobs,9857,1478550
Huruma,GOD IS GOOD BUSINESS CENTER,36.87624,-1.25441,bobs,6530,979500
Eastleigh,Fixmatt Supermarket Pumwani California,36.847004,-1.282601,bobs,3046,456900
Kitengela,Mt kenya shop kitengela,36.956175,-1.472097,bobs,9822,1473300
Kasarani,El- Betel General Shop,36.909168,-1.219623,bobs,3135,470250
Buruburu,KAWASANG GAS RETAILER,36.8804,-1.2839,bobs,5609,841350
Mathare North,Dc Wines And Spirit,36.872799,-1.247656,bobs,8671,1300650
Mathare North,Genuine Gas,36.872687,-1.248028,bobs,3204,480600
Buruburu,Hillocks Shop Harambee,36.87502,-1.284686,bobs,9666,1449900
Nairobi West,Wild style shop,36.820275,-1.307627,bobs,2626,393900
Kiambu Township,Shegeh Distributors,36.840847,-1.17026,bobs,71,10650
Athi River,TWINE SHOP,36.979389,-1.448687,bobs,6258,938700
Juja,Kamaham Traders (Juja),36.999372,-1.081783,bobs,8170,1225500
"Embakasi (Fedha, Nyayo,Tasia)",Seven Up,36.895861,-1.307285,bobs,4141,621150
Riruta Satellite,Kizingo Cyber Satellite,36.735249,-1.292524,bobs,8837,1325550
Kibera,Human Needs Project (Kibera),36.781443,-1.314061,bobs,5869,880350
Kitengela,Best home store,36.959295,-1.478168,bobs,5307,796050
Ruai,Safeway's Electronics,36.972566,-1.290314,bobs,5740,861000
Ruai,RSL supermarket,36.97236,-1.288129,bobs,2457,368550
Thika,Murime Enterprises,37.075002,-1.048719,bobs,2746,411900
Kiambiu,Kamax Enterprises,36.866121,-1.28104,bobs,5071,760650
Kawangware,Fraemy Supermarket,36.75179,-1.28085,bobs,7275,1091250
Huruma,Jose shop,36.872229,-1.257872,bobs,3546,531900
Nairobi West,Nairobi West gas,36.822751,-1.307331,bobs,6153,922950
Kibera,Ogare Success,36.777378,-1.313229,bobs,8998,1349700
Ngara,African General Store,36.829803,-1.278025,bobs,6889,1033350
Kayole,Afro lights electricals and hardware,36.911718,-1.276483,bobs,6646,996900
Langata,Mambo Jambo Mini Mart,36.779191,-1.323359,bobs,5425,813750
Ruai,Agape gas center,36.95885,-1.280463,bobs,630,94500
Ngando,Wambati Mini Market,36.744403,-1.302224,bobs,237,35550
Waithaka,Simran Investment,36.720762,-1.285075,bobs,8237,1235550
Kitengela,Gichuki electronics,36.959882,-1.474392,bobs,6651,997650
Kayole,Gas point patanisho,36.911415,-1.27352,bobs,6125,918750
Chokaa,Muhindi mweusi supermarket Chokaa,36.951565,-1.249931,bobs,9193,1378950
Thika,ANDAY GAS SUPPLIERS MALABA,37.075179,-1.092763,bobs,3464,519600
Thika,Duka la vyoo (kisii),37.125338,-1.069117,bobs,2276,341400
Dandora Phase 4 & 5,Chwele Shop,36.91079,-1.243846,bobs,7513,1126950
Waithaka,Camnice Beauty Shop,36.726907,-1.294156,bobs,82,12300
Ruiru,King'swill Trading,36.929214,-1.152419,bobs,4175,626250
Ruiru,Naina investments,36.94588,-1.150871,bobs,7579,1136850
